iter	Passed	Remaining
0	0	97
1	1	89
2	2	84
3	3	80
4	4	80
5	5	78
6	5	77
7	11	137
8	13	134
9	14	129
10	15	123
11	16	118
12	17	113
13	18	111
14	19	107
15	19	104
16	20	100
17	21	97
18	22	96
19	23	95
20	25	94
21	26	93
22	27	92
23	28	90
24	29	89
25	30	87
26	31	84
27	32	82
28	32	80
29	33	78
30	34	76
31	35	75
32	36	73
33	37	73
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	57
46	49	56
47	50	55
48	52	54
49	53	53
50	54	52
51	56	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	79	22
78	82	21
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
